word,zipf,n_senses,first_gloss
magister,2.41,3,"Master; sir: a title used in the Middle Ages, given to a person in authority, or to one having a licence from a university to teach philosophy and the liberal arts."
rezoning,2.4,1,"the act, process or result of being rezoned"
ancona,2.4,2,"An altarpiece, especially one of multiple connected pictures"
analyte,2.4,1,Any substance undergoing analysis.
taran,2.4,2,"A species of roach (Rutilus heckelii), a fish in the Cyprinidae family. It is native to the Black Sea basin: rivers Don, Kuban, Dnieper, Dniester, rarely Danube."
breakpoint,2.4,4,A point in a program at which operation may be interrupted during debugging so that the state of the program at that point can be investigated.
epigenetics,2.4,2,"The study of the processes involved in the genetic development of an organism, especially the activation and deactivation of genes."
saison,2.4,1,A kind of highly carbonated pale ale.
cluttering,2.4,3,"The act of making, or condition of being, cluttered."
reeder,2.4,2,One who thatches with reeds.
peacebuilding,2.4,2,The creation of peace or the conditions for peace.
shapeshifter,2.4,2,A person or creature capable of changing their appearance or form at will.
amaro,2.4,1,A type of Italian herbal liqueur.
gacha,2.4,5,"A small toy sold in a plastic capsule in a vending machine, especially toys sold in or associated with Japan."
boogaloo,2.4,7,"A genre of music that blends rhythm and blues and soul music with Cuban-style rhythms, originating in the United States in the 1960s."
subnet,2.4,2,The abstraction of a sequence.
vanna,2.4,1,"A second-order measure of derivative price sensitivity, expressed as the rate of change of vega with respect to changes in the spot price, or equivalently the rate of change of delta with respect to c"
vocaloid,2.4,4,"An artificial singer (a voicebank, usually with an avatar) based on the Vocaloid engine."
mandal,2.39,1,An administrative division in some countries in South Asia.
rockwood,2.39,2,ligniform asbestos
headwear,2.39,1,"Clothing worn on the head (e.g. hats, helmets, headdresses, headscarves)."
kaito,2.39,1,A small motorized ferry or sampan that serves mostly remote islands.
punto,2.39,2,A hit or point.
tambo,2.39,2,A tambourine player in a black minstrel troupe.
hydrocodone,2.39,1,A habit-forming compound that is derived from codeine and is administered in the form of its bitartrate C₁₈H₂₁NO₃·C₄H₆O₆ usually in combination with other drugs (as acetaminophen) as an analgesic or a
peterman,2.39,3,A safecracker.
ramada,2.39,1,"A simple arbour or open porch, typically roofed with branches."
smoot,2.39,2,A unit of length defined as exactly sixty-seven inches (approximately 1.70 meters).
convenor,2.39,2,One who assembles people for an official or public purpose.
murali,2.39,1,The matrimony vine (Lycium barbarum).
kingsman,2.39,2,"The lowest enlisted rank in the Duke of Lancaster's Regiment of the British Army, equivalent to private in the rest of the British Army."
supermajority,2.39,1,"A majority of the items being counted that reaches some preset threshold significantly greater than 50 percent, such as two thirds."
maida,2.39,1,"A finely milled, refined and bleached wheat flour, used in making Indian foods such as samosa, chakli and bhatoora."
kanna,2.39,3,"Channa (Mesembryanthemum tortuosum, syn. Sceletium tortuosum), a Southern African succulent with psychoactive properties."
shinobu,2.38,1,The rabbit's-foot fern (Davallia)
roomba,2.38,1,A robotic vacuum cleaner.
whistleblowing,2.38,1,"The disclosure to the public or to authorities, such as by an employee, of wrongdoing."
uploader,2.38,2,Someone who uploads files.
prabhu,2.38,1,A lord.
repurposing,2.38,1,The act by which something is repurposed.
manuka,2.38,2,"Leptospermum scoparium, a shrub or small tree native to New Zealand and southeast Australia."
nishi,2.38,3,"the left-hand (less prestigious) side of the banzuke (番付, “ranking list”)"
bayan,2.38,2,A type of chromatic button accordion developed in Russia in the early 20th century.
wildland,2.38,1,"Land that is unfit for, or has not been modified by, cultivation or other human activity; a natural area."
houser,2.38,2,"One who, or that which, houses."
hornblower,2.38,1,Someone or something that blows a horn.
metta,2.38,1,"Lovingkindness or compassion, especially if developed through meditation or mindfulness."
reggaeton,2.38,1,"A style of Latin American popular music, originally developing from reggae in Panama but now more of a type of hip hop-dance music mainly associated with Puerto Rico."
frist,2.38,3,A certain space or period of time; respite.
merrin,2.38,1,"A species of nailtail wallaby, Onychogalea fraenata, of NSW and Qld, with distinctive bridle-like markings."
bobblehead,2.38,3,A collectible doll with a bobbing head.
reynard,2.38,1,A fox.
castell,2.38,1,A human tower formed in festivals in Catalonia.
crockpot,2.38,1,A slow cooker.
mainstreaming,2.38,2,The process of bringing something into the mainstream.
prashant,2.38,1,A croissant.
cheez,2.38,2,composition
backfiring,2.38,2,The occurrence of a backfire.
lightspeed,2.37,2,The speed of light (in vacuum unless another medium is specified).
modularity,2.37,1,The property of being modular.
gentoo,2.37,1,gentoo penguin
mylar,2.37,1,A polyester film.
butthead,2.37,1,An annoying person or someone who is difficult to get along with.
pranking,2.37,2,A showy adornment.
